1		225		328		1303142851456
1		225		328		1303142855390
1		225		328		1303142859325
1		225		328		1303142863264
1		225		328		1303142867193
1		225		328		1303142871132
1		225		328		1303142878008
1		225		328		1303142881929
1		225		328		1303142885864
1		225		328		1303142889800
1		225		328		1303142893728
1		225		328		1303142897657
1		225		328		1303142901586
1		225		328		1303142905508
1		225		328		1303142912396
1		225		328		1303142916321
1		225		328		1303142920251
1		225		328		1303142924188
1		225		328		1303142928121
1		225		328		1303142932056
1		225		328		1303142938949
1		225		328		1303142942868
1		225		328		1303142946809
1		225		328		1303142950761
1		225		328		1303142954685
1		225		328		1303142958620
1		225		328		1303142965528
1		225		328		1303142969468
1		225		328		1303142973394
1		225		328		1303142977328
1		225		328		1303142981272
1		225		328		1303142985201
